,No,Response
170,170,je pense avoir trouvé les couleurs^^Voir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 vote
171,171,elle est  en gris méta
172,172,
173,173, j'en ai jamais croisé   
174,174,Elle ne sera lancée qu'à l'automne ...
175,175,proche du centre RENAULT y'en a qui circule   
176,176,"Moi je les ai vu de très près et en noir elle est superbe!!L’intérieur pas mal, mais les sièges aucun maintien car aussi plat que la poitrine de Justine Henin :/"
177,177,vu une blanche en mouvement mercredi dernier dans VersaillesC'est juste...révolutionnaire   
178,178,magnifique mais trop cher! dommage
179,179,trop cher 15 000 euros tu c'est très abordable pour l’innovation je trouve bien que certes je ne pense pas que les moteur électrique ne soit pas l'avenir je trouve que ici on a une solution concrète a un moteur commun à essence
180,180,Reprise du message précédent :trop cher 15 000 euros tu c'est très abordable pour l’innovation je trouve bien que certes je ne pense pas que les moteur électrique ne soit pas l'avenir je trouve que ici on a une solution concrète a un moteur commun à essence
181,181,
182,182,je trouve que les 15000 euros pour la zoe ça les vaut parfaitement vraiment c'est une vrai innovation a un prix abordable et j'espère qu'elle va faire un carton 
183,183,
184,184,"il ne faut pas regarder que le prix brut mais l'ensemble! la location de la batterie, le coût de la recharge...! personnellement la zoe me reviendrai plus cher que ma clio3!"
185,185,
186,186,"Peu de gens paye leur voiture prix catalogue, donc prix Zoé = prix Clio (à peu près).Par contre, je viserai plutot un bon 5,5-6 L/100 pour la clio, en usage urbain. Et d'un coup, ça fait 80€/mois !!! Donc kifkif avec la Zoé..."
187,187,
188,188,c'est mieux une zoe sauf pour l’inconvénient autonomie !
189,189,
190,190,Pas trop cher en effet mais la Yaris Hybrid s'avère un bon choix aussi. 
191,191,
192,192,sa ce voit ben ! c'est vrai qu'elle est joli ^^
193,193,
194,194,il le fallait pour frapper un grand coup ! j’espère qu'elle va bien être vendue (dans le sens j'espère qu'elle va avoir du succès
195,195,
196,196,pas encore    bientôt on l'attend tous avec impatiente   
197,197,
198,198,je suis d'accord avec toi renault fais tout pour nous faire monter le désire sur cette clio !
199,199,
200,200,"Renault s'est un peu amélioré là dessus, avant on savait tout de la voiture bien à l'avance."
201,201,
202,202,j'ai une une clio 3 dci 85ch que j'ai acheté neuve 14000€ qui consomme moins de 4l/100km je fais une vidange tous les 2 ans. Avec un plein par mois. donc pour moi la zoe me coûterai plus cher et a savoir que le cout de la recharge c'est 1€ pour 100km donc 2e à chaque recharge complète. j'aurai été prête a acheter la zoe un peu plus cher sans la location de la batterie. je dois pas être la seul dans ce cas!
203,203,en tout cas quand tu devra faire des entretien de ton moteur quelqu'un en zoe n'en aura pas autant   
204,204,
205,205,"oui dans quelque années! dis si là, de nouvelle génération de batterie serons là! et là pourquoi pas! mais pour le moment l'autonomie est trop juste...!"
206,206,mais l'entretien d'un moteur ça ce fait continuellement. pas a plusieur d'intervalle !!!!!!!! et de toute façon tout est dans ton commentaire ! de nouvelle generation de batterie seront sortie donc comme les batterie de la zoe sont inter-changeable tu pourra mettre de nouvelle generation de batterie !!!de toute façon c'est absurde de dire que la zoe est cher même 15 000 euros avec les batterie ce n'est pas chers (oui c'est une sommes conséquente) mais rend toi compte de l’innovation intégré dans cette auto ! et c'est la première a proposer un tel tarif pour de tel prestation !
207,207,"Moi j'ai de la chance, j'ai une borne de recharge gratuite, donc moi elle me coutera moins."
208,208,il faut un début a tout mais pour que ça marche il faudrai un carburant à 2€uro/L. l'avenir nous dirai si ça marche pour le moment j'ai doute!
209,209,Pour l'instant je serais plus intéressé par l'hybride essence.Après dans 2ans on aura déjà des batteries qui pourront faire 340kms d'après Renault. A voir.
210,210,idem l'hybride m’attire plus...
211,211,
212,212,"Comme le rendement est meilleur ca pollue toujours moins que le pétrole, sans compter qu'il est plus facile de dépolluer une centrale électrique même a charbon que des millions de voitures qui circulent en ville, et don la polution touche directement la population.Il faut dire aussi qu'on peut faire rouler au moins 10 millions de VE en France en utilisant l’électricité qui est aujourd'hui produite mais non utilisée, car produite a des moments (principalement la nuit) ou on en a pas besoin (on arrête pas les centrales la nuit, elles continuent a tourner et a produire de l'électricité qu'on ne consomme pas)Donc sans générer aucune pollution ni aucun cout supplémentaire.Enfin ca dépend beaucoup de comment on produit l’électricité.Citation :Le coût de production d'électricité par les énergies renouvelables baisse tous les ans, révèle une étude de l'Agence internationale des énergies renouvelables. Un constat qui bat en brèche l'idée reçue selon laquelle les énergies propres sont trop coûteuses.Trop coûteuses les énergies propres ? Une idée reçue affirme au contraire une étude rendue publique par l'Agence internationale des énergies renouvelables (Irena) Selon cette étude publiée mercredi les coûts relatifs à la production d'énergie par panneaux solaires (photovoltaïque) ont baissé de 60% au cours des deux dernières années. Mieux, le coût de production d'autres sources d'énergie renouvelable, comme l'éolien, l'énergie solaire concentrée, la biomasse et l'hydroélectricité, s'affiche également en baisse, selon cette organisation (1) basée à Abou Dhabi.« L'une des (idées reçues) perpétuées par les lobbies industriels est que l'énergie renouvelable est trop chère », indique le directeur général d'Irena Adnane Amine. Mais « les coûts baissent énormément et cela va continuer dans l'avenir », a souligné M. Amine expliquant que la production d'électricité « est à présent compétitive avec beaucoup de technologies de carburants fossiles (....) traditionnelles ».Selon Dolf Gielen, directeur du Centre d'innovation et de technologie d'Irena, les investissements dans les énergies renouvelables ne sont plus un marché de niche. Ils représentent « la masse des investissements dans le domaine de la production d'énergie », et représentent la moitié des nouvelles capacités intsallées dans le monde. Comme les marchés croissent très rapidement, « d'autres réductions de coût sont fort probables », a-t-il indiqué.Quatre millions d'emplois supplémentairesDans une seconde étude, également publiée mercredi, Irena a estimé que les énergies renouvelables créeront au moins 4 millions d'emplois dans le seul secteur de l'électricité dans des zones rurales des pays en développement. Aujourd'hui, il y a 5 millions d'emplois dans le monde dans le secteur de l'énergie renouvelable et plus de 1,3 milliard de personnes, essentiellement en Afrique et en Asie, n'ont pas accès à l'électricité, selon Irena.Le coût des énergies renouvelables baisse, selon l'IrenaLe pétrole, lui augmente tous les ansPour ma part je préfère qu'on mette de l'argent la dedans et dans la voiture électrique, ce qui crée de l'activité et de l'emplois en France, plutôt que dans la facture pétrolière qui engraisse les dictateurs du monde entier."
213,213,"Salut à tousLes présentations presse commencent pour la Zoé, aujourd'hui c'est sur => l'Argus, avec une petite vidéo et une galerie photos un peu plus complète***"
214,214,"Interessante cette Zoe, beaucoup d'innovation technique par rapport à Kangoo et Fluence."
215,215,"c'est vrai que c'est un ""début"" mais pour ceux qui veulent partir pour faire de long trajet. ils doivent avoir une 2ème voiture et là les économies??? donc j'attend..."
216,216,"Reprise du message précédent :c'est vrai que c'est un ""début"" mais pour ceux qui veulent partir pour faire de long trajet. ils doivent avoir une 2ème voiture et là les économies??? donc j'attend..."
217,217,en même temps c'est pas avec des voiture électrique que tu aura une autonomie aussi bonne que avec un essence et n'attend pas d'avoir une si bonne autonomie en électrique parce que soit ça arrivera jamais soit tu va attendre vraiment longtemps !
218,218,
219,219,"Ca fait plaisir de débattre avec des personnes ouvertes!Attention c'est de la théorie, je ne dis pas qu'en pratique ca marchera parfaitement, c'est un calcul qui été fait sur une base moyenne de 50km par VE donc 8kwh de charge x10 000 000, donc 80 millions de kwh (80 000 Mwh soit 20 000 MW pendant 4h ou 10 000MW pendant 8h) a trouver chaque nuit.On voit sur ce graphique que même lors des pic de consommation c'est possible.Mais là on est pas dans le cas figure que j'expliquais dans mon post précédant, ou il suffit d'utiliser l'électricité des centrales qui tournent a vide la nuit.Ce jour (qui est un cas extrême puisque c'est le record de consommation en France), la cappacité nucléaire installé 65 GW n’aurait pas suffit a alimenter les 10 millions de VE en question, c'est pour ca que je dis qu'en pratique ce n'est pas aussi simple, et qu'il faudrait gérer sur plusieurs jours en prévoyant d'un coté les pics de consommation et de l'autre les besoins en consommation des VE. Ce qui n'est pas évident, bien qu’on puisse imaginer dans le futur utiliser les veilles batteries des VE pour faire du stockage d'électricité (celles qui n'aurraient plus suffisamment de capacité pour donner une autonomie satisfaisantes a une voiture)Par contre sur une journée type, on peut voir qu'on a largement les 80 000 Mwh nécessaire entre 22h et 8h, et comme le pic de consommation a 19h est inférieur a la capacité nucléaire, on peut imaginer que c'est essentiellement de l'électricité nucléaire, et qu'on arrête pas les centrales la nuit, c'est donc potentiellement de l’électricité 100% gratuite .On peut aller plus loin.En France il y a 115 GW (dont 65 de Nuc) de capacité de production installé. Ce qui potentiellement permettrait de produire un peu plus de 1000 TWH sur une année, si on utilisait 100% de cette capacités ce qui bien évidement n'est pas possible (entretient), par contre 70 % c'est parfaitement réaliste, donc 700TWH, or on consomme en France moins 500TWH d’électricité par an, il y a donc une différence de 200TWH entre la consommation et la production possible.37 millions (parc automobile actuel) de VE parcourant 12000 km par an, (kilométrage moyen d'une voiture en France) consommeraient 18 KWH au 100, donc 18 x 120 = 2160 Kwh x 37 000 000 = 80000000000 KWh soit80 TWH.Ce qui veut dire qu'en théorie on pourrait faire rouler la totalité du parc automobile français sans avoir besoin de moyen de production supplémentaire, mais simplement en les utilisant plus longtemps. (Attention! là je ne parle pas d'électricité produite mais non utilisée, mais de produire de l'électricité supplémentaire avec les moyens existant°Je dis bien en théorie car dans la pratique c'est un peu plus compliqué, car il faudrait pouvoir lisser la consommation sur l'année, on voit que lors du pic de consommation ont utilise 100 de la capacité de production a l'heure du pic (qui n'est jamais disponible et on a donc importé de l'électricité). d'ou l'importance du stockage de l'électricité et des réseaux intelligent.Tous ca pour dire qu'on peut pas comprendre les enjeux du VE, en raisonnant comme on le fait pour les véhicules thermique, il faut changer de paradigme, une pensé globale autour la production et la distribution de l'électricité."
220,220,"je trouve qu'il y a beaucoup d’électricité a prendre entre 00h et 8h oui  mais fabriquer les batterie détruit la nature alors pourquoi quitter une énergie qui détruit la terre pour une autre qui détruit aussi la nature ! il y a d'autre possibilité de moteur  (attention je dis pas que c'est pas bien les voiture électrique c'est une véritable innovation de la par de Renault de ce lancera fond la dedans mais je pense qu'il y a des solution moins polluante et qui détruise moins la nature, ensuite je pense que la liberté de se déplacer devrais être gratuite et via d'autre énergie ""non polluante ça serai possible de se déplacer librement et gratuitement ! mais ça serai une véritable pertes pour l'état donc on ne verra jamais arriver de tel changement mais bon ceci est un autre débat  )"
221,221,http://www.caradisiac.com/Rena [...] -78956.htm
222,222,je trouve le tableau de bord vraiment réussi il est parfaitement a mon gout   
223,223,de nuit elle va etre facile a différencier   Voir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 votetres jolieVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 votebonne nuit   
